#start, end, selection probability, vehicle type

#イオン南側細街路
9365, 9364, 0.3, 20
9364, 9365, 0.3, 20
9364, 9361, 0.3, 20
9361, 9364, 0.3, 20
9361, 9363, 0.3, 20
9363, 9361, 0.3, 20
9364, 11370, 0.3, 20

#けやき通り
9840, 9750, 0.5, 20
9363, 9513, 0.5, 20

#1kmスクエア内部
9867, 20029, 0.5, 20
20029, 9867, 0.5, 20
10580, 10581, 0.2, 20
10581, 11372, 0.2, 20
11372, 10582, 0.2, 20
10582, 10583, 0.2, 20
10583, 10584, 0.2, 20
20028, 11370, 0.3, 20
20026, 20052, 0.3, 20
20023, 11380, 0.5, 20
11380, 11381, 0.3, 20
20024, 11381, 0.5, 20
11381, 11375, 0.3, 20
11382, 11381, 0.3, 20
11382, 20052, 0.3, 20
11375, 11374, 0.3, 20
11375, 11376, 0.3, 20
11376, 11360, 0.3, 20
11360, 11377, 0.3, 20
11360, 9840, 0.5, 20
10896, 10581, 0.3, 20

#西川筋
10315, 20029, 0.2, 20
10298, 10315, 0.2, 20
20027, 20026, 0.3, 20
10286, 11371, 0.3, 20
20025, 20024, 0.3, 20
10278, 11383, 0.5, 20
20023, 9800, 0.5, 20
9800, 10274, 0.5, 20
9800, 10248, 0.5, 20
10248, 10240, 0.5, 20

#万町跨線橋側道
20022, 20018, 0.4, 20
11399, 20017, 0.4, 20
11396, 10209, 0.5, 20
10240, 10209, 0.5, 20

#万町跨線橋南
9983, 20137, 0.3, 20
10873, 10248, 0.3, 20

#城下筋東
20102, 20104, 0.5, 20
20104, 20102, 0.5, 20 
20104, 20107, 0.5, 20
20106, 20107, 0.5, 20
10873, 20009, 0.3, 20
20103, 20101, 0.3, 20
20101, 20103, 0.3, 20
20103, 20106, 0.5, 20

#駅西口
8713, 9170, 0.1, 20
9170, 8713, 0.5, 20
9177, 11392, 0.5, 20
9170, 20007, 0.5, 20
9485, 9170, 0.3, 20

#あくら通り
20121, 20151, 0.7, 20
10893, 10582, 0.5, 20
20027, 20147, 0.7, 20
9846, 9524, 0.5, 20

#駅南
9814, 20032, 0.1, 20
11403, 20032, 0.1, 20
11403, 11402, 0.1, 20
11356, 11384, 0.1, 20

