x,y,z,score,score_d
0,0,0,13,1474600
78000,0,0,173,8771250
79000,0,0,161,8078250
80000,0,0,163,8095340
81000,0,0,19,934208
82000,0,0,19,925083
128000,0,0,17,827706
129000,0,0,14,688364
130000,0,0,166,8244330
131000,0,0,165,8278950
132000,0,0,175,8872650
210000,0,0,12,1361170
105000,43000,0,0,0
104975,42956.8,0,139,6937.81
105025,42956.8,0,142,7087.55
105000,42913.6,0,281,0
100,0,0,26,2946800
200,0,0,26,2944390
300,0,0,26,2941990
400,0,0,26,2939580
500,0,0,26,2937170
600,0,0,26,2934770
700,0,0,26,2932370
800,0,0,26,2929960
900,0,0,26,2927560
1000,0,0,26,2925150
1100,0,0,27,3035160
1200,0,0,27,3032670
1300,0,0,28,3142400
1400,0,0,28,3139810
1500,0,0,29,3249270
1600,0,0,29,3246590
1700,0,0,29,3243920
1800,0,0,29,3241240
1900,0,0,29,3238560
2000,0,0,29,3235880
2100,0,0,29,3233210
2200,0,0,29,3230530
2300,0,0,29,3227850
2400,0,0,29,3225180
2500,0,0,29,3222500
2600,0,0,30,3330860
2700,0,0,31,3439030
2800,0,0,31,3436170
2900,0,0,31,3433310
3000,0,0,31,3430450
3100,0,0,31,3427590
3200,0,0,31,3424740
3300,0,0,31,3421880
3400,0,0,32,3529320
3500,0,0,32,3526370
3600,0,0,32,3523420
3700,0,0,32,3520480
3800,0,0,32,3517530
3900,0,0,33,3624410
4000,0,0,33,3621380
4100,0,0,33,3618340
4200,0,0,33,3615300
4300,0,0,33,3612270
4400,0,0,33,3609230
4500,0,0,33,3606200
4600,0,0,33,3603160
4700,0,0,33,3600130
4800,0,0,35,3815100
4900,0,0,35,3811880
5000,0,0,36,3917480
5100,0,0,37,4022900
5200,0,0,38,4128140
5300,0,0,38,4124650
5400,0,0,38,4121160
5500,0,0,38,4117670
5600,0,0,38,4114180
5700,0,0,38,4110690
5800,0,0,39,4215290
5900,0,0,39,4211710
6000,0,0,39,4208130
6100,0,0,39,4204550
6200,0,0,39,4200970
6300,0,0,40,4305020
6400,0,0,41,4408890
6500,0,0,41,4405130
6600,0,0,41,4401370
6700,0,0,41,4397610
6800,0,0,41,4393860
6900,0,0,41,4390100
7000,0,0,41,4386340
7100,0,0,41,4382590
7200,0,0,41,4378830
7300,0,0,41,4375080
7400,0,0,41,4371330
7500,0,0,41,4367570
7600,0,0,41,4363820
7700,0,0,42,4466410
7800,0,0,42,4462570
7900,0,0,42,4458730
8000,0,0,42,4454890
8100,0,0,42,4451050
8200,0,0,42,4447210
8300,0,0,42,4443370
