x,y,z,score,score_d
0,0,0,160,18148900
78000,0,0,307,15565200
79000,0,0,309,15504200
80000,0,0,309,15346400
81000,0,0,316,15537400
82000,0,0,321,15629000
128000,0,0,321,15629000
129000,0,0,320,15734000
130000,0,0,317,15743700
131000,0,0,312,15654700
132000,0,0,311,15768000
210000,0,0,166,18829500
105000,43000,0,0,0
104975,42956.8,0,0,0
105025,42956.8,0,0,0
105000,42913.6,0,0,0
100,0,0,454,51455600
200,0,0,454,51413600
300,0,0,454,51371600
400,0,0,454,51329600
500,0,0,454,51287600
600,0,0,454,51245600
700,0,0,454,51203600
800,0,0,454,51161600
900,0,0,454,51119600
1000,0,0,454,51077700
1100,0,0,454,51035700
1200,0,0,453,50881400
1300,0,0,453,50839600
1400,0,0,452,50685600
1500,0,0,452,50643800
1600,0,0,451,50490100
1700,0,0,451,50448500
1800,0,0,451,50406800
1900,0,0,451,50365200
2000,0,0,451,50323600
2100,0,0,451,50281900
2200,0,0,451,50240300
2300,0,0,451,50198700
2400,0,0,451,50157100
2500,0,0,451,50115500
2600,0,0,451,50073900
2700,0,0,450,49921300
2800,0,0,449,49769000
2900,0,0,449,49727600
3000,0,0,449,49686200
3100,0,0,449,49644800
3200,0,0,449,49603500
3300,0,0,449,49562100
3400,0,0,449,49520700
3500,0,0,448,49369200
3600,0,0,448,49327900
3700,0,0,448,49286700
3800,0,0,448,49245400
3900,0,0,448,49204200
4000,0,0,447,49053200
4100,0,0,447,49012100
4200,0,0,447,48970900
4300,0,0,447,48929800
4400,0,0,447,48888700
4500,0,0,447,48847600
4600,0,0,447,48806500
4700,0,0,447,48765400
4800,0,0,447,48724300
4900,0,0,445,48465400
5000,0,0,445,48424500
5100,0,0,444,48274800
5200,0,0,443,48125400
5300,0,0,442,47976200
5400,0,0,442,47935600
5500,0,0,442,47895000
5600,0,0,442,47854400
5700,0,0,442,47813800
5800,0,0,442,47773300
5900,0,0,441,47624700
6000,0,0,441,47584200
6100,0,0,441,47543800
6200,0,0,441,47503300
6300,0,0,441,47462900
6400,0,0,440,47314900
6500,0,0,439,47167100
6600,0,0,439,47126900
6700,0,0,439,47086600
6800,0,0,439,47046400
6900,0,0,439,47006200
7000,0,0,439,46966000
7100,0,0,439,46925800
7200,0,0,439,46885600
7300,0,0,439,46845400
7400,0,0,439,46805200
7500,0,0,439,46765000
7600,0,0,439,46724800
7700,0,0,439,46684600
7800,0,0,438,46538200
7900,0,0,438,46498200
8000,0,0,438,46458100
8100,0,0,438,46418100
8200,0,0,438,46378000
8300,0,0,438,46338000
8400,0,0,438,46297900
8500,0,0,438,46257900
8600,0,0,438,46217900
8700,0,0,438,46177900
8800,0,0,438,46137900
8900,0,0,438,46097900
9000,0,0,437,45952700
9100,0,0,437,45912800
9200,0,0,437,45873000
9300,0,0,436,45728200
9400,0,0,435,45583600
9500,0,0,435,45544000
9600,0,0,435,45504300
9700,0,0,435,45464600
9800,0,0,435,45425000
9900,0,0,435,45385300
10000,0,0,434,45241400
10100,0,0,434,45201900
10200,0,0,433,45058300
10300,0,0,433,45018800
10400,0,0,433,44979400
10500,0,0,432,44836200
10600,0,0,432,44796800
10700,0,0,432,44757500
10800,0,0,432,44718200
10900,0,0,432,44678900
11000,0,0,431,44536200
11100,0,0,431,44497000
11200,0,0,431,44457800
11300,0,0,431,44418700
11400,0,0,429,44173500
11500,0,0,429,44134500
11600,0,0,429,44095600
11700,0,0,429,44056600
11800,0,0,429,44017600
11900,0,0,429,43978600
12000,0,0,429,43939700
12100,0,0,429,43900700
12200,0,0,429,43861800
12300,0,0,429,43822900
12400,0,0,429,43783900
12500,0,0,428,43643000
12600,0,0,428,43604200
12700,0,0,428,43565400
12800,0,0,428,43526600
12900,0,0,427,43386200
13000,0,0,427,43347500
13100,0,0,427,43308800
13200,0,0,426,43168800
13300,0,0,426,43130200
13400,0,0,425,42990500
13500,0,0,425,42952000
13600,0,0,425,42913500
13700,0,0,425,42875000
13800,0,0,425,42836600
13900,0,0,425,42798100
14000,0,0,425,42759700
14100,0,0,425,42721200
14200,0,0,424,42582400
14300,0,0,424,42544100
14400,0,0,423,42405500
14500,0,0,423,42367300
14600,0,0,423,42329000
14700,0,0,423,42290800
14800,0,0,421,42052900
14900,0,0,421,42014800
15000,0,0,421,41976800
15100,0,0,421,41938800
15200,0,0,421,41900900
15300,0,0,420,41763400
