SN: x y z score score_d
SN: 0 0 0 231 2.62025e+07
SN: 78000 0 0 231 1.17119e+07
SN: 79000 0 0 0 0
SN: 80000 0 0 0 0
SN: 81000 0 0 0 0
SN: 82000 0 0 0 0
SN: 128000 0 0 0 0
SN: 129000 0 0 0 0
SN: 130000 0 0 0 0
SN: 131000 0 0 0 0
SN: 132000 0 0 234 1.1864e+07
SN: 210000 0 0 234 2.65428e+07
SN: 105000 43000 0 0 0
SN: 104975 42956.8 0 0 0
SN: 105025 42956.8 0 0 0
SN: 105000 42913.6 0 0 0
SN: 100 0 0 462 5.23623e+07
SN: 200 0 0 462 5.23196e+07
SN: 300 0 0 462 5.22768e+07
SN: 400 0 0 462 5.22341e+07
SN: 500 0 0 462 5.21913e+07
SN: 600 0 0 462 5.21486e+07
SN: 700 0 0 462 5.21059e+07
SN: 800 0 0 462 5.20632e+07
SN: 900 0 0 462 5.20204e+07
SN: 1000 0 0 462 5.19777e+07
SN: 1100 0 0 462 5.1935e+07
SN: 1200 0 0 462 5.18923e+07
SN: 1300 0 0 462 5.18496e+07
SN: 1400 0 0 462 5.18069e+07
SN: 1500 0 0 462 5.17643e+07
SN: 1600 0 0 462 5.17216e+07
SN: 1700 0 0 462 5.16789e+07
SN: 1800 0 0 462 5.16363e+07
SN: 1900 0 0 462 5.15936e+07
SN: 2000 0 0 462 5.1551e+07
SN: 2100 0 0 462 5.15083e+07
SN: 2200 0 0 462 5.14657e+07
SN: 2300 0 0 462 5.1423e+07
SN: 2400 0 0 462 5.13804e+07
SN: 2500 0 0 462 5.13378e+07
SN: 2600 0 0 462 5.12952e+07
SN: 2700 0 0 462 5.12526e+07
SN: 2800 0 0 462 5.121e+07
SN: 2900 0 0 462 5.11674e+07
SN: 3000 0 0 462 5.11248e+07
SN: 3100 0 0 462 5.10822e+07
SN: 3200 0 0 462 5.10396e+07
SN: 3300 0 0 462 5.09971e+07
SN: 3400 0 0 462 5.09545e+07
SN: 3500 0 0 462 5.0912e+07
SN: 3600 0 0 462 5.08694e+07
SN: 3700 0 0 462 5.08269e+07
SN: 3800 0 0 462 5.07843e+07
SN: 3900 0 0 462 5.07418e+07
SN: 4000 0 0 462 5.06993e+07
SN: 4100 0 0 462 5.06568e+07
SN: 4200 0 0 462 5.06142e+07
SN: 4300 0 0 462 5.05717e+07
SN: 4400 0 0 462 5.05292e+07
SN: 4500 0 0 462 5.04867e+07
SN: 4600 0 0 462 5.04443e+07
SN: 4700 0 0 462 5.04018e+07
