SN:,x,y,z,z_dummy,score,score_d
SN:,40000,0,0,0,0,0
SN:,78000,0,0,1351.1,261.389,1.3511e+07
SN:,79000,0,0,1361.65,268.625,1.36165e+07
SN:,80000,0,0,1360.05,273.71,1.36005e+07
SN:,81000,0,0,1382.97,272.833,1.38297e+07
SN:,82000,0,0,1441.43,278.864,1.44143e+07
SN:,128000,0,0,1396.89,270.247,1.39689e+07
SN:,129000,0,0,1350.28,266.384,1.35028e+07
SN:,130000,0,0,1279.46,257.492,1.27946e+07
SN:,131000,0,0,1265.32,249.623,1.26532e+07
SN:,132000,0,0,1280.12,247.656,1.28012e+07
SN:,170000,0,0,0,0,0
SN:,105000,43000,0,0,0,0
SN:,104975,42956.8,0,0,0,0
SN:,105025,42956.8,0,0,0,0
SN:,105000,42913.6,0,0,0,0
SN:,40100,0,0,2.70202,0.301587,27020.2
SN:,40200,0,0,5.39797,0.60317,53979.7
SN:,40300,0,0,8.11321,0.907586,81132.1
SN:,40400,0,0,10.8223,1.21199,108223
SN:,40500,0,0,13.5251,1.51638,135251
SN:,40600,0,0,16.2217,1.82075,162217
SN:,40700,0,0,18.912,2.1251,189120
SN:,40800,0,0,21.6212,2.43226,216212
SN:,40900,0,0,24.324,2.73939,243240
SN:,41000,0,0,27.0203,3.04649,270203
SN:,41100,0,0,29.7102,3.35355,297102
SN:,41200,0,0,32.3936,3.66057,323936
SN:,41300,0,0,35.0704,3.96754,350704
SN:,41400,0,0,37.7406,4.27446,377406
SN:,41500,0,0,40.4043,4.58133,404043
SN:,41600,0,0,43.0863,4.89098,430863
SN:,41700,0,0,45.7615,5.20057,457615
SN:,41800,0,0,48.455,5.51294,484550
SN:,41900,0,0,51.1416,5.82523,511416
SN:,42000,0,0,53.8213,6.13746,538213
SN:,42100,0,0,56.519,6.45244,565190
SN:,42200,0,0,59.2097,6.76735,592097
SN:,42300,0,0,61.8934,7.08218,618934
SN:,42400,0,0,64.57,7.39691,645700
SN:,42500,0,0,67.2395,7.71156,672395
SN:,42600,0,0,69.9019,8.02611,699019
SN:,42700,0,0,72.5571,8.34056,725571
SN:,42800,0,0,75.2545,8.66058,752545
SN:,42900,0,0,77.9445,8.9805,779445
SN:,43000,0,0,80.6272,9.3003,806272
SN:,43100,0,0,83.3025,9.61999,833025
SN:,43200,0,0,85.9947,9.94238,859947
SN:,43300,0,0,88.6794,10.2646,886794
SN:,43400,0,0,91.3566,10.5868,913566
SN:,43500,0,0,94.0262,10.9088,940262
SN:,43600,0,0,96.7126,11.2335,967126
SN:,43700,0,0,99.4156,11.5609,994156
SN:,43800,0,0,102.135,11.891,1.02135e+06
SN:,43900,0,0,104.847,12.2209,1.04847e+06
SN:,44000,0,0,107.575,12.5535,1.07575e+06
SN:,44100,0,0,110.295,12.886,1.10295e+06
SN:,44200,0,0,113.007,13.2183,1.13007e+06
SN:,44300,0,0,115.712,13.5505,1.15712e+06
SN:,44400,0,0,118.432,13.8853,1.18432e+06
SN:,44500,0,0,121.144,14.2199,1.21144e+06
SN:,44600,0,0,123.848,14.5544,1.23848e+06
SN:,44700,0,0,126.543,14.8887,1.26543e+06
SN:,44800,0,0,129.231,15.2228,1.29231e+06
SN:,44900,0,0,131.91,15.5567,1.3191e+06
SN:,45000,0,0,134.604,15.8932,1.34604e+06
SN:,45100,0,0,137.291,16.2296,1.37291e+06
SN:,45200,0,0,139.969,16.5657,1.39969e+06
SN:,45300,0,0,142.662,16.9045,1.42662e+06
SN:,45400,0,0,145.347,17.2431,1.45347e+06
SN:,45500,0,0,148.047,17.5843,1.48047e+06
SN:,45600,0,0,150.762,17.9281,1.50762e+06
SN:,45700,0,0,153.493,18.2745,1.53493e+06
SN:,45800,0,0,156.215,18.6207,1.56215e+06
SN:,45900,0,0,158.951,18.9696,1.58951e+06
SN:,46000,0,0,161.726,19.3238,1.61726e+06
SN:,46100,0,0,164.493,19.6779,1.64493e+06
SN:,46200,0,0,167.25,20.0317,1.6725e+06
SN:,46300,0,0,169.998,20.3852,1.69998e+06
SN:,46400,0,0,172.737,20.7385,1.72737e+06
SN:,46500,0,0,175.49,21.0944,1.7549e+06
SN:,46600,0,0,178.281,21.4557,1.78281e+06
SN:,46700,0,0,181.086,21.8195,1.81086e+06
SN:,46800,0,0,183.882,22.1831,1.83882e+06
SN:,46900,0,0,186.691,22.5493,1.86691e+06
SN:,47000,0,0,189.491,22.9151,1.89491e+06
SN:,47100,0,0,192.281,23.2807,1.92281e+06
SN:,47200,0,0,195.062,23.646,1.95062e+06
SN:,47300,0,0,197.856,24.0138,1.97856e+06
SN:,47400,0,0,200.664,24.3842,2.00664e+06
SN:,47500,0,0,203.485,24.7571,2.03485e+06
SN:,47600,0,0,206.297,25.1298,2.06297e+06
SN:,47700,0,0,209.121,25.5049,2.09121e+06
SN:,47800,0,0,211.959,25.8826,2.11959e+06
SN:,47900,0,0,214.787,26.26,2.14787e+06
SN:,48000,0,0,217.605,26.637,2.17605e+06
SN:,48100,0,0,220.412,27.0138,2.20412e+06
SN:,48200,0,0,223.233,27.393,2.23233e+06
SN:,48300,0,0,226.043,27.772,2.26043e+06
SN:,48400,0,0,228.843,28.1506,2.28843e+06
SN:,48500,0,0,231.633,28.5288,2.31633e+06
SN:,48600,0,0,234.412,28.9068,2.34412e+06
SN:,48700,0,0,237.181,29.2843,2.37181e+06
